Date,Open,Close,High,Low,Volume,NATR_5,NATR_8,NATR_11,NATR_14,NATR_17,NATR_20,NATR_23,NATR_26,NATR_29,NATR_32,NATR_35,NATR_38,NATR_41,NATR_44,NATR_47,High_Open_ration,Close_Open_Ratio
2021/1/4,375.309998,368.790009,375.450012,364.820007,110210800,,,,,,,,,,,,,,,,0.0373062,-1.737227634
2021/1/5,368.100006,371.329987,372.5,368.049988,66426200,,,,,,,,,,,,,,,,1.1953257,0.87747377
2021/1/6,369.709991,373.549988,376.980011,369.119995,107997700,,,,,,,,,,,,,,,,1.9664116,1.03865113
2021/1/7,376.100006,379.100006,379.899994,375.910004,68766800,,,,,,,,,,,,,,,,1.0103664,0.797660184
2021/1/8,380.589996,381.26001,381.48999,377.100006,71677200,1.5114369062729633,,,,,,,,,,,,,,,0.2364734,0.176046141
2021/1/11,377.850006,378.690002,380.579987,377.720001,51034700,1.3260642319959268,,,,,,,,,,,,,,,0.7225039,0.222309378
2021/1/12,378.890015,378.769989,379.859985,376.359985,52547700,1.1918706802413641,,,,,,,,,,,,,,,0.2560031,-0.031678322
2021/1/13,378.690002,379.790009,380.859985,377.850006,45303600,1.0566256443122028,1.245049151810173,,,,,,,,,,,,,,0.5730236,0.290476906
2021/1/14,380.589996,378.459991,381.130005,378.100006,49989100,0.9737635436748382,1.149688648477388,,,,,,,,,,,,,,0.1418873,-0.559658694
2021/1/15,376.720001,375.700012,377.579987,373.700012,107160000,1.0762655888608395,1.1823185642204102,,,,,,,,,,,,,,0.2282825,-0.270755202
2021/1/19,378.339996,378.649994,379.230011,376.75,51233300,1.022673451920004,1.1195855309992018,1.1731145834905226,,,,,,,,,,,,,0.2352421,0.081936354
2021/1/20,381.109985,383.890015,384.790009,380.690002,61836100,1.2056162256672556,1.2143293994034385,1.2308215631326918,,,,,,,,,,,,,0.9656068,0.729456091
2021/1/21,384.48999,384.23999,384.950012,383.25,47840100,0.9504903969966739,1.041937045491772,1.098489575775574,,,,,,,,,,,,,0.1196447,-0.065021199
2021/1/22,382.25,382.880005,384.130005,381.839996,52860500,0.844853243,0.9525688108595434,1.0231306098349502,1.0981549408169498,,,,,,,,,,,,0.491826,0.164814912
2021/1/25,383.670013,384.390015,384.769989,378.459991,70402000,1.1082100450468526,1.1027678222001287,1.1228530762981686,1.1668704072173488,,,,,,,,,,,,0.2866985,0.187661786
2021/1/26,385.410004,383.790009,385.850006,383.540009,42665300,0.9405920132376536,0.992802747,1.037488903732443,1.0931208188092478,,,,,,,,,,,,0.1141647,-0.420330293
2021/1/27,380.220001,374.410004,380.320007,372.01001,123351100,1.6915320229634427,1.4906991959744287,1.4106145867941648,1.3906100713333764,1.252971294805465,,,,,,,,,,,0.0263021,-1.528061908
2021/1/28,376.359985,377.630005,381.929993,375.890015,94198100,1.7818604597444019,1.5920717727375269,1.4973827646544793,1.4604340900320867,1.3255181410233061,,,,,,,,,,,1.4799682,0.337448201
2021/1/29,375.630005,370.070007,376.670013,368.269989,126765100,2.055259370285543,1.8256310624355923,1.6948527005400371,1.6288002367748096,1.4833364511601637,,,,,,,,,,,0.2768703,-1.480179412
2021/2/1,373.720001,376.230011,377.339996,370.380005,75817600,1.9918476582283897,1.8260924078951566,1.7113067099105421,1.6461577623097736,1.5116360256171932,1.3878686903357595,,,,,,,,,,0.9686383,0.67162849
2021/2/2,379.649994,381.549988,383.220001,376.320007,64450700,1.9200496237740556,1.807601614,1.7115379525185956,1.6510443692776016,1.5284968836020585,1.4126585863414218,,,,,,,,,,0.9403416,0.500459378
2021/2/3,382.440002,381.850006,383.700012,380.480011,52427100,1.5601151357328105,1.5921995934332767,1.5657048884202789,1.5422159717009194,1.4512923231639647,1.3574262513491284,,,,,,,,,,0.3294661,-0.154271519
2021/2/4,382.959991,386.190002,386.23999,381.970001,47142600,1.407302398160415,1.477069934934904,1.4795482739208603,1.473132235500802,1.401844870035216,1.3226068055167428,1.339542787589259,,,,,,,,,0.8564861,0.843433015
2021/2/5,388.200012,387.709991,388.470001,386.140015,48669800,1.1348437943833751,1.2778751562291533,1.3282833501200515,1.351837475632855,1.3079725944209446,1.2491872802061388,1.2731803597842624,,,,,,,,,0.0695489,-0.126229002
2021/2/8,389.269989,390.51001,390.559998,388.350006,38365200,0.9944100661368184,1.1489579307512077,1.2206022275854405,1.2605008582911017,1.2353967123629852,1.191619572441238,1.219531885189205,,,,,,,,,0.3313918,0.318550373
2021/2/9,389.609985,390.25,390.890015,389.170013,35551100,0.8102962799422435,0.992172371,1.0913034979722682,1.1519277447946141,1.1478335710700245,1.1208258993751568,1.155377684280613,1.237257778347213,,,,,,,,0.3285414,0.164270687
2021/2/10,392.119995,390.079987,392.279999,387.5,59154400,0.9488961097739497,1.0443347226659077,1.114047519019215,1.1621577553151548,1.156895578182651,1.1312263108686766,1.1616735958898772,1.236877946607738,,,,,,,,0.0408049,-0.52025095
2021/2/11,391.23999,390.709991,391.690002,388.100006,42913300,0.9378570548079861,1.0151370603130652,1.0800158118138947,1.1280911877353212,1.1287866784442246,1.1093486165946245,1.1397203288249653,1.2114728293999641,,,,,,,,0.115022,-0.135466469
2021/2/12,389.850006,392.640015,392.899994,389.769989,50593300,0.8878877198211088,0.9628187007352681,1.0284506791665646,1.0791624607244379,1.0870082340229075,1.0746835625000108,1.1060389530927182,1.1752697769331486,1.2025733946507855,,,,,,,0.7823491,0.715662167
2021/2/16,393.959991,392.299988,394.170013,391.529999,50972400,0.8167575194672645,0.8990542784124104,0.9699447363028392,1.0258125119564783,1.041840130006446,1.037266753249593,1.0708276439504594,1.1390047054068109,1.1682385436796556,,,,,,,0.0533105,-0.421363346
2021/2/17,390.420013,392.390015,392.660004,389.329987,52290600,0.827263346,0.8876928448706718,0.9495434629672955,1.001986840346433,1.0201620627645676,1.0190879143790346,1.052087612922177,1.1172549659199251,1.1466824630817596,,,,,,,0.5737388,0.504585302
2021/2/18,389.589996,390.720001,391.519989,387.73999,59712800,0.9505718081116719,0.9578492277444295,0.993021159,1.0307825197262626,1.0429218273667595,1.0393173404356053,1.067712151831187,1.1270737868998364,1.154152499169423,1.179212715932571,,,,,,0.4953908,0.290049799
2021/2/19,392.070007,390.029999,392.380005,389.549988,83241000,0.876698834,0.9075539393616602,0.9499131887375555,0.9916705428936272,1.0093027170380118,1.0111020513471087,1.0409334187614478,1.0991804247054424,1.1274873275948218,1.1536801161426928,,,,,,0.079067,-0.520317281
2021/2/22,387.059998,387.029999,389.619995,386.73999,67414200,0.8723514913041539,0.9002502368561645,0.9394078434503031,0.9794517575351569,0.9985638812734408,1.0028562238315946,1.0324240100796713,1.0886164751425838,1.117149446523135,1.1436798281748202,,,,,,0.6613954,-0.007750478
2021/2/23,384.660004,387.5,388.950012,380.200012,107284100,1.3335504461197336,1.201137473230491,1.1582344445401354,1.1489038736536672,1.1374318060976536,1.1212993453550884,1.133412838596951,1.1740196733233397,1.191945787249857,1.2099151894740523,1.1969642808349141,,,,,1.1152727,0.738313308
2021/2/24,386.329987,391.769989,392.230011,385.269989,72433900,1.471529931935642,1.3188265015759038,1.250768528663601,1.2217385821812476,1.1974261875442553,1.1726475934079916,1.175684410859655,1.2068041002648633,1.2187947515007282,1.2318692755509453,1.216842739,,,,,1.527198,1.408123155
2021/2/25,390.410004,382.329987,391.880005,380.779999,146670500,1.972992970681454,1.6962478331889261,1.5519178827322038,1.4720839987763936,1.4132427542029142,1.3636631696771833,1.346257893666417,1.3600566511311147,1.359178677143064,1.3617376051212635,1.3389077566264371,,,,,0.3765275,-2.069623452
2021/2/26,384.350006,380.359985,385.579987,378.230011,152701600,1.966265680009659,1.7555533123832991,1.622025390696815,1.5400637424212982,1.4774302912419364,1.4242162519460504,1.4014924994509732,1.4089728653059268,1.403961972757464,1.4029470199862424,1.3784274430544683,1.3011148415667895,,,,0.3200159,-1.038121748
2021/3/1,385.589996,389.579987,390.920013,380.570007,105348800,2.183360246299456,1.9354750835384733,1.7714678647730848,1.6645495165991526,1.5833706648690027,1.5162346490658096,1.4801819390251496,1.4745156289284203,1.4600606556278075,1.451009272946125,1.4216278555317803,1.3441833533747025,,,,1.3823017,1.03477555
