,Open,Close,High,Low,Volume,DMN_14,AO_5_34,APO_12_26,BIAS_SMA_26,CMO_14,COPC_11_14_10,DPO_20,NATR_14,QQE_14_5_4.236_RSIMA,RSI_14,RVI_14,THERMOma_20_2_0.5,ZS_30,TRIX_30_9,VIX_Close,VIX_Open,VIX_High,VIX_Low,VIX_WCP,VIX_OHLC4,VIX_MIDPRICE_2,VIX_LDECAY_5,High_Open_ration,Close_Open_Ratio
0,375.309998,368.790009,375.450012,364.820007,110210800,,,,,,,,,,,,,,,26.969999,23.040001,29.190001,22.559999,26.4224995,25.44,,26.969999,0.03730622705127292,-1.737227634420762
1,368.100006,371.329987,372.5,368.049988,66426200,,,,,,,,,,,,,,,25.34,26.940001,28.6,24.799999,26.01999975,26.42,25.875,26.769999000000002,1.1953257072209862,0.8774737699949967
2,369.709991,373.549988,376.980011,369.119995,107997700,,,,,,,,,,,,,,,25.07,25.48,26.77,22.139999,24.76249975,24.864999750000003,25.3699995,25.14,1.9664115595945548,1.0386511302043722
3,376.100006,379.100006,379.899994,375.910004,68766800,,,,,,,,,,,,,,,22.370001,23.67,23.91,22.25,22.7250005,23.05000025,24.4549995,24.87,1.0103663757984584,0.7976601840309463
4,380.589996,381.26001,381.48999,377.100006,71677200,,,,,,,,,,,,,,,21.559999,22.43,23.34,21.42,21.9699995,22.18749975,22.665,22.170001,0.23647337277882427,0.17604614073987312
5,377.850006,378.690002,380.579987,377.720001,51034700,,,,,,,,,,,,,,,24.08,23.309999,24.809999,23.23,24.049999749999998,23.8574995,23.114999500000003,24.08,0.7225038921926097,0.22230937849978097
6,378.890015,378.769989,379.859985,376.359985,52547700,,,,,,,,,,,,,,,23.33,23.49,25.15,22.83,23.659999999999997,23.7,23.99,23.88,0.2560030514396082,-0.031678322269853364
7,378.690002,379.790009,380.859985,377.850006,45303600,,,,,,,,,,,,,,,22.209999,23.07,24.18,21.92,22.6299995,22.84499975,23.535,23.13,0.5730235782670602,0.2904769056987158
8,380.589996,378.459991,381.130005,378.100006,49989100,,,,,,,0.3789880999999582,,,,,,,,23.25,22.219999,23.469999,21.66,22.90749975,22.6499995,22.92,23.25,0.14188733431658507,-0.5596586937088023
9,376.720001,375.700012,377.579987,373.700012,107160000,,,,,,,-3.0189898499999686,,,,,,,,24.34,23.52,25.799999,23.08,24.38999975,24.18499975,23.729999499999998,24.34,0.2282825434585811,-0.2707552020844281
